"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071674","mononuclear cell migration","13/135","235/18860",0.0553191489361702,7.72828999211978,8.8126352077992,1.43066407675113e-08,9.97535606085691e-06,8.46035244681592e-06,"CCL19/CCL5/CORO1C/CSF1/CXCL12/GPR15/ITGAL/ITGB7/JAML/PIK3CG/SAA1/SERPINE1/SLAMF1",13
"GO:0030198","extracellular matrix organization","15/135","331/18860",0.0453172205438066,6.33098355152736,8.30827092591722,1.5485315941977e-08,9.97535606085691e-06,8.46035244681592e-06,"ABI3BP/COL14A1/COL1A1/COL3A1/COL6A5/CRISPLD2/CTSK/DPT/FAP/FLRT2/LAMA2/LUM/OLFML2B/SFRP2/TGFBR3",15
"GO:0043062","extracellular structure organization","15/135","332/18860",0.0451807228915663,6.31191432396252,8.29127144923354,1.61205252833442e-08,9.97535606085691e-06,8.46035244681592e-06,"ABI3BP/COL14A1/COL1A1/COL3A1/COL6A5/CRISPLD2/CTSK/DPT/FAP/FLRT2/LAMA2/LUM/OLFML2B/SFRP2/TGFBR3",15
"GO:0045229","external encapsulating structure organization","15/135","333/18860",0.045045045045045,6.29295962629296,8.27434164093077,1.67794046439982e-08,9.97535606085691e-06,8.46035244681592e-06,"ABI3BP/COL14A1/COL1A1/COL3A1/COL6A5/CRISPLD2/CTSK/DPT/FAP/FLRT2/LAMA2/LUM/OLFML2B/SFRP2/TGFBR3",15
"GO:0050900","leukocyte migration","15/135","397/18860",0.0377833753148615,5.27847746991324,7.31557840480316,1.67835590555285e-07,7.98226068680933e-05,6.76995771587211e-05,"CCL19/CCL5/CORO1C/CSF1/CXCL12/GPR15/ITGAL/ITGB7/JAML/PIK3CG/SAA1/SERPINE1/SLAMF1/THY1/VCAM1",15
"GO:0007160","cell-matrix adhesion","12/135","246/18860",0.0487804878048781,6.81481481481481,7.79469072945703,2.080305842352e-07,8.24494548852177e-05,6.99274735780076e-05,"CD96/COL3A1/CORO1C/CSF1/FAM107A/ITGAE/ITGAL/ITGB7/PARVG/SERPINE1/THY1/VCAM1",12
"GO:0031589","cell-substrate adhesion","14/135","369/18860",0.037940379403794,5.30041152263374,7.08366969025397,4.22395095142261e-07,0.000143493648035471,0.000121700601848507,"ABI3BP/CD96/COL1A1/COL3A1/CORO1C/CSF1/FAM107A/ITGAE/ITGAL/ITGB7/PARVG/SERPINE1/THY1/VCAM1",14
"GO:0045123","cellular extravasation","7/135","74/18860",0.0945945945945946,13.2152152152152,8.93953903781874,9.94131255021166e-07,0.000295505515555042,0.000250625721660599,"CXCL12/ITGAL/ITGB7/JAML/PIK3CG/THY1/VCAM1",7
"GO:0006935","chemotaxis","15/135","474/18860",0.0316455696202532,4.42100328176278,6.40492922426963,1.57283261942584e-06,0.000393988138765627,0.000334151331890993,"CCL19/CCL5/CORO1C/CSF1/CXCL12/FLRT2/FPR3/JAML/PIK3CG/PRKCQ/ROBO2/SAA1/SERPINE1/SLAMF1/VCAM1",15
"GO:0042330","taxis","15/135","476/18860",0.0315126050420168,4.40242763772175,6.38392343164877,1.65680462054511e-06,0.000393988138765627,0.000334151331890993,"CCL19/CCL5/CORO1C/CSF1/CXCL12/FLRT2/FPR3/JAML/PIK3CG/PRKCQ/ROBO2/SAA1/SERPINE1/SLAMF1/VCAM1",15
"GO:0032943","mononuclear cell proliferation","12/135","319/18860",0.0376175548589342,5.25531173807036,6.50841814626554,3.2198067813626e-06,0.000696063684189114,0.000590349262496722,"CCL19/CCL5/CD79A/CSF1/CTLA4/HLA-DPB1/INPP5D/MZB1/PIK3CG/PRKCQ/SLAMF1/VCAM1",12
"GO:0060326","cell chemotaxis","12/135","330/18860",0.0363636363636364,5.08013468013468,6.34905457873453,4.55663618802523e-06,0.000902973404593666,0.000765834643531258,"CCL19/CCL5/CORO1C/CSF1/CXCL12/JAML/PIK3CG/PRKCQ/SAA1/SERPINE1/SLAMF1/VCAM1",12
"GO:0030595","leukocyte chemotaxis","10/135","237/18860",0.0421940928270042,5.89467104235037,6.43855132527764,8.11158372471917e-06,0.0013778104355273,0.00116855597117007,"CCL19/CCL5/CORO1C/CSF1/CXCL12/JAML/PIK3CG/SAA1/SERPINE1/SLAMF1",10
"GO:0097529","myeloid leukocyte migration","10/135","237/18860",0.0421940928270042,5.89467104235037,6.43855132527764,8.11158372471917e-06,0.0013778104355273,0.00116855597117007,"CCL19/CCL5/CORO1C/CSF1/CXCL12/JAML/PIK3CG/SAA1/SERPINE1/SLAMF1",10
"GO:0070661","leukocyte proliferation","12/135","356/18860",0.0337078651685393,4.70911360799001,5.99898292972795,9.81702832434288e-06,0.00155632622368582,0.00131995973820638,"CCL19/CCL5/CD79A/CSF1/CTLA4/HLA-DPB1/INPP5D/MZB1/PIK3CG/PRKCQ/SLAMF1/VCAM1",12
"GO:0030199","collagen fibril organization","6/135","71/18860",0.0845070422535211,11.8059467918623,7.74560716831715,1.17641486572079e-05,0.00174844659417752,0.00148290189652699,"COL14A1/COL1A1/COL3A1/DPT/LUM/SFRP2",6
"GO:0048246","macrophage chemotaxis","5/135","44/18860",0.113636363636364,15.8754208754209,8.38778422172987,1.51398456507096e-05,0.00185379412871174,0.00157224981214275,"CCL5/CORO1C/CSF1/SAA1/SLAMF1",5
"GO:0002274","myeloid leukocyte activation","10/135","255/18860",0.0392156862745098,5.47857661583152,6.1137906373934,1.53400465449111e-05,0.00185379412871174,0.00157224981214275,"CCL5/CD2/CSF1/FCER1A/IL1RL1/IRF4/LCP2/PIK3CG/SLAMF1/UBD",10
"GO:0046651","lymphocyte proliferation","11/135","312/18860",0.0352564102564103,4.92545109211776,5.93654310429223,1.54326416295149e-05,0.00185379412871174,0.00157224981214275,"CCL19/CCL5/CD79A/CTLA4/HLA-DPB1/INPP5D/MZB1/PIK3CG/PRKCQ/SLAMF1/VCAM1",11
"GO:0007159","leukocyte cell-cell adhesion","13/135","439/18860",0.0296127562642369,4.13701172698895,5.64686106312721,1.64462872803991e-05,0.00185379412871174,0.00157224981214275,"CCL19/CCL5/CTLA4/CXCL12/HLA-DPB1/IL2RG/ITGAL/ITGB7/PRKCQ/SLAMF1/THY1/VCAM1/ZBTB16",13
