gene_id,GSM883944,GSM883945,GSM883946,GSM883947,GSM883948,GSM883949,GSM883950,GSM883951,GSM883952,GSM883953,GSM883954,GSM883955,GSM883956,GSM883957,GSM883958,GSM883959,GSM883960,GSM883961,GSM883962,GSM883963,GSM883964,GSM883965,GSM883966,GSM883967,GSM883968,GSM883969,GSM883970,GSM883971,GSM883972,GSM883973,GSM883974,GSM883975,GSM883976,GSM883977,GSM883978,GSM883979,GSM883980,GSM883981,GSM883982,GSM883983,GSM883984,GSM883985,GSM883986,GSM883987,GSM883988,GSM883989,GSM883990,GSM883991,GSM883992,GSM883993,GSM883994,GSM883995,GSM883996,GSM883997,GSM883998,GSM883999,GSM884000,GSM884001,GSM884002,GSM884003,GSM884004,GSM884005,GSM884006,GSM884007,GSM884008,GSM884009,GSM884010,GSM884011,GSM884012,GSM884013,GSM884014,GSM884015,GSM884016,GSM884017,GSM884018,GSM884019,GSM884020,GSM884021,GSM884022,GSM884023,GSM884024,GSM884025,GSM884026,GSM884027,GSM884028,GSM884029,GSM884030,GSM884031,GSM884032,GSM884033,GSM884034,GSM884035,GSM884036,GSM884037,GSM884038,GSM884039,GSM884040,GSM884041,GSM884042,GSM884043,GSM884044,GSM884045,GSM884046,GSM884047,GSM884048,GSM884049,GSM884050,GSM884051,GSM884052,GSM884053,GSM884054,GSM884055,GSM884056,GSM884057,GSM884058,GSM884059,GSM884060,GSM884061,GSM884062,GSM884063,GSM884064,GSM884065,GSM884066,GSM884067,GSM884068,GSM884069,GSM884070,GSM884071,GSM884072,GSM884073,GSM884074,GSM884075,GSM884076,GSM884077,GSM884078,GSM884079,GSM884080,GSM884081,GSM884082,GSM884083,GSM884084,GSM884085,GSM884086,GSM884087,GSM884088,GSM884089,GSM884090,GSM884091,GSM884092,GSM884093,GSM884094,GSM884095,GSM884096,GSM884097,GSM884098,GSM884099,GSM884100,GSM884101,GSM884102,GSM884103,GSM884104,GSM884105,GSM884106,GSM884107,GSM884108,GSM884109,GSM884110,GSM884111,GSM884112,GSM884113,GSM884114,GSM884115,GSM884116,GSM884117,GSM884118,GSM884119,GSM884120,GSM884121,GSM884122,GSM884123,GSM884124,GSM884125,GSM884126,GSM884127,GSM884128,GSM884129,GSM884130,GSM884131,GSM884132,GSM884133,GSM884134,GSM884135,GSM884136,GSM884137,GSM884138,GSM884139,GSM884140,GSM884141,GSM884142,GSM884143,GSM884144,GSM884145,GSM884146,GSM884147,GSM884148,GSM884149,GSM884150,GSM884151,GSM884152,GSM884153,GSM884154,GSM884155,GSM884156,GSM884157,GSM884158,GSM884159,GSM884160,GSM884161,GSM884162,GSM884163,GSM884164
ATP2A3,5.192163,6.380106,6.577776,6.476847,7.101043,7.420993,5.62223,6.106543,6.774088,7.468107,6.439712,5.745581,5.394355,6.610171,6.533025,6.460614,7.022612,6.699884,7.852415,7.64754,8.629317,5.752055,7.96926,6.622755,6.368523,6.102686,5.685487,6.468269,5.839356,7.545531,6.153504,6.488287,6.893651,6.995078,6.766151,7.502785,6.546559,6.459225,7.392499,7.978416,7.191424,6.496053,6.715239,6.426439,6.437992,7.027783,6.553245,6.306231,7.075305,7.943087,6.960329,8.079206,6.940133,6.868508,6.958726,6.266619,8.411165,8.191522,6.594048,6.367381,6.612791,6.691526,7.457803,6.664454,6.205355,6.850677,6.932527,6.0136,6.622962,7.869229,6.886589,7.079983,6.341089,6.603425,6.679474,6.218369,6.498438,6.746003,6.164886,6.799867,6.727948,6.395163,7.840294,8.125148,6.912056,6.439881,6.751487,8.553825,6.567497,8.572027,6.7058,7.105055,7.395274,7.348827,7.651476,6.71659,7.100666,6.672426,6.719054,6.76166,7.874851,8.029031,6.768483,7.865385,7.964398,7.418309,8.39348,7.433021,9.223818,7.551637,6.577653,7.116242,6.314342,6.648921,6.164523,7.092843,7.020668,6.705121,6.700271,7.197257,6.349864,6.5667,6.433222,7.097971,7.188972,7.883592,7.559321,8.643132,7.025554,6.987422,7.420751,7.161738,6.494155,7.203,8.227599,6.638721,7.865135,7.169673,6.56093,6.71515,7.451327,6.756763,6.855872,7.508746,7.568835,7.178519,8.147971,7.28693,6.352021,6.1237,8.101482,7.036271,7.095831,7.503234,7.434908,6.77997,7.110638,7.05404,7.289958,5.679311,8.433427,6.3517,6.871039,5.933156,7.69395,6.48442,6.161576,6.16293,7.360426,6.902839,7.519824,7.796963,7.651494,6.492439,6.726901,6.139812,6.144601,6.795503,7.11914,5.655426,6.576324,6.981359,6.804909,7.132206,7.796505,7.243379,7.04351,7.01022,6.463428,6.788037,7.322977,6.351339,6.360833,6.093905,6.835314,6.868405,6.527705,7.221522,6.471958,6.384619,7.05564,6.968545,6.53779,6.98456,6.956261,6.419394,6.367278,7.329714,6.646406,7.225503,7.266048,7.069135,8.399566,6.448138,6.731357,6.503044,6.847168,6.480699,6.785536,6.450027,6.020239
CAT,5.923509,7.669481,6.749482,7.565173,7.622587,6.446842,7.205922,6.424367,8.051572,7.049344,7.029906,7.43433,7.611919,6.425945,6.985296,7.154257,7.043227,7.794032,6.901403,6.935523,6.243446,7.028137,6.322788,7.668393,6.766074,7.457467,7.121591,7.426236,7.825968,6.736645,6.732857,7.137246,7.160601,7.103182,7.348933,7.114671,6.796234,7.263977,7.314498,7.232449,7.460185,7.175959,6.260914,6.913112,6.783421,6.75974,6.962946,7.316611,6.60672,6.907099,5.869144,6.367377,6.5828,7.378025,7.330124,6.91084,7.049423,6.979959,7.70251,6.802474,6.912184,7.134406,7.246918,7.065879,7.380724,6.513729,6.962233,7.09324,6.824883,7.088793,6.732399,7.544878,7.386223,6.781179,7.905688,6.844929,7.159007,7.310686,7.545998,7.589816,7.828122,7.656514,6.93789,6.75603,7.243255,7.065969,7.319775,7.25675,7.464398,6.726939,7.1491,6.815181,6.825429,7.077862,7.376193,7.781441,6.385854,7.003484,6.401368,6.248804,7.054856,6.886233,6.153924,6.623841,6.707326,7.15664,6.674677,7.096621,6.960611,6.667259,7.455127,7.130351,7.053202,6.958503,7.06637,6.533475,7.766819,7.390319,7.261745,6.848339,5.584213,7.107263,7.341154,7.889036,7.346484,6.927875,6.650041,6.411849,7.590815,5.615087,6.687164,6.749918,6.642534,6.898984,6.607327,6.789899,7.201663,6.612859,6.804459,7.561678,7.479898,6.377711,7.205096,6.928783,6.425659,6.116393,6.65854,6.665275,7.4941,6.701943,6.457086,7.331137,7.283662,7.083453,6.840749,7.943245,6.856825,6.080704,7.326983,6.366437,6.692019,6.60725,6.12054,7.597187,7.216984,7.470214,7.8212,7.500929,7.403818,7.263586,6.736193,7.443684,7.488037,8.120697,7.924959,7.582407,7.352515,7.380804,7.190856,7.287835,7.192016,6.988392,6.848227,7.936225,7.578412,7.425124,7.741106,7.412294,7.608195,7.314793,7.580202,7.014324,7.576262,7.616426,7.559058,7.505381,6.953892,6.130007,7.065866,7.221593,7.30353,7.902418,7.888433,7.771462,8.175161,7.564592,7.577277,7.664041,5.680482,7.525307,7.310947,7.655195,7.031986,6.544178,7.480362,7.864242,8.29479,8.251587,7.232449,7.606167,6.68002
CCL24,3.508556,3.551733,4.088679,3.479406,3.416885,3.736458,3.244835,3.24618,3.370569,3.531953,3.505154,3.184628,3.613986,3.475538,3.469177,3.532915,3.46756,3.597975,3.324486,3.66225,3.845988,3.506191,3.633009,3.704316,3.196516,3.648697,3.6003,3.60255,3.310718,3.21034,3.466403,3.234986,3.23041,3.126805,3.243925,3.283011,3.512915,3.335259,3.508364,3.182381,3.917327,3.367847,3.169671,3.521586,3.419708,3.644631,3.821148,3.397202,3.701603,2.992368,3.012995,3.272823,3.431459,3.490966,3.500418,3.281874,3.307144,3.652347,3.284825,3.295001,4.34389,3.190977,3.455255,3.499362,3.302167,4.040154,3.650408,3.35228,3.383657,3.61063,3.57007,3.328786,3.427428,3.34188,3.283277,3.363224,3.562724,3.614046,3.945762,3.755941,3.357347,3.253721,3.425637,3.551922,3.522495,3.363886,3.796048,3.011374,3.158481,3.2317,3.599818,3.771606,3.650968,3.490461,3.830654,3.604243,3.681069,3.451919,4.197252,3.670532,3.855772,3.131561,3.991256,3.863209,3.41176,3.455684,3.607001,3.672283,3.062757,4.130271,3.693125,3.289212,3.920396,3.478808,3.355892,3.490897,3.196986,3.826354,3.290961,3.026778,3.427743,3.861719,3.280105,3.454015,3.363733,3.724875,3.699011,3.608658,3.501435,4.840714,3.547261,3.996549,3.762421,3.405615,3.340935,3.558281,3.637114,3.741038,3.533411,3.440952,3.354139,4.069083,3.843622,3.731852,3.88502,3.720937,3.765508,3.587324,3.997649,3.557621,3.495692,3.771333,3.251211,3.576853,4.044342,3.730584,3.698092,3.774512,3.426144,4.194035,3.300335,3.875413,4.498924,3.909126,3.927441,3.296646,3.828359,3.892638,3.699358,3.906992,4.521636,3.836343,3.176829,3.954995,3.501508,4.046941,3.551208,3.84653,3.787465,3.701853,3.766547,3.837226,4.100889,3.750675,3.916308,3.918395,4.230312,3.907256,3.641622,3.828686,3.99499,4.234697,3.783423,3.790447,3.620899,3.448506,3.861312,3.571035,3.651935,3.817382,3.932877,3.820553,3.802547,3.742081,3.762079,3.463347,4.091272,3.955635,3.765199,4.13074,3.851749,3.71415,3.990344,3.537537,3.408652,3.64929,3.570596,3.665164,5.691237,4.004721,3.511076
CCL26,3.237542,2.702321,3.492727,2.623864,2.967484,4.047926,2.740483,3.140386,2.629874,3.040312,2.865342,2.965444,2.848549,3.139921,2.881413,2.838504,3.10119,2.922022,2.868989,3.073518,3.580945,2.871188,3.432118,2.943885,2.934054,3.27583,2.602469,2.94293,2.677693,3.176782,2.637628,2.55451,2.658274,2.509652,2.45384,2.76254,3.165901,2.597462,2.688752,2.929377,2.812187,3.033345,3.369717,3.207985,2.892831,3.238188,3.18668,2.740117,3.476635,3.492929,3.222898,2.91818,2.499331,2.785216,2.877677,2.897382,2.828023,3.474959,2.44321,3.087802,3.351035,3.142156,3.108511,3.490504,2.821324,4.432457,2.752309,3.321131,2.906366,3.009339,3.316388,3.253145,2.753551,3.220627,3.401098,3.093976,3.018564,3.439066,3.815025,2.771181,2.574781,2.757423,3.14756,3.156893,3.241933,2.890913,3.5962,2.86447,2.457961,3.036045,2.958161,3.427828,2.961922,3.482227,3.282081,2.924397,3.415895,3.243964,3.331357,3.486407,3.030719,2.837247,3.824522,3.10086,3.045724,3.132423,2.738276,3.274338,3.063294,2.949693,3.179953,3.084846,3.438011,2.980106,3.423903,3.16811,3.110723,3.491732,3.174524,2.624641,3.173412,2.836752,2.626018,2.698484,2.793586,2.911512,3.152039,4.023098,2.962884,4.077336,3.203135,3.081858,3.244645,3.071589,3.042743,3.303393,2.730305,3.104512,3.862518,3.388462,2.950458,4.012459,3.446982,2.80418,3.398629,3.256962,3.44443,3.448842,2.678909,2.883399,2.847077,3.3308,2.986081,3.143723,3.664601,3.068303,3.223701,3.260108,3.076276,3.464449,2.627016,3.185004,3.504696,3.216738,3.614807,2.400345,2.547323,2.752528,2.856753,2.685643,2.81233,2.9579,2.651677,3.017053,2.984941,2.782852,3.15021,3.091148,2.941015,2.835483,3.216035,3.56814,3.078372,2.872509,3.6217,2.993095,2.841589,3.369774,3.522166,3.021981,2.98033,3.546906,3.328269,3.101402,3.277799,2.577821,2.827988,3.209581,3.178801,3.019212,3.57654,3.063684,3.205052,3.356735,2.939553,2.452826,3.147475,3.389416,3.786698,3.109281,3.461155,2.930264,3.425385,3.22396,3.097624,2.986988,2.827417,2.429039,4.650218,2.66554,3.42292
CCL3,4.990029,4.475904,5.198765,4.551517,5.196277,4.771565,4.345395,4.251988,4.205678,4.347468,4.478106,4.37326,4.644558,4.981142,4.761176,5.374696,4.516117,4.341887,4.638427,4.608546,4.846541,4.764988,4.767195,4.708382,4.477051,4.416598,4.565615,4.442583,4.443488,4.974238,4.54395,4.766814,4.799581,4.415577,4.834324,4.524815,4.404882,4.661937,4.456278,4.616606,4.079086,4.379711,4.990611,4.831148,4.604684,4.768433,4.03192,4.439549,4.653803,4.315336,5.384835,4.5617,4.910479,4.891023,4.635416,4.453461,4.548405,4.60242,4.418658,4.331229,5.010284,4.80435,4.655951,4.767956,4.383237,4.841175,4.79698,4.742188,4.99718,4.431338,5.068792,4.792799,4.236122,4.609093,4.924959,4.707045,4.355647,4.459592,3.943802,4.502531,4.444317,4.548353,5.078392,4.841694,4.814604,4.973645,4.370322,4.655478,4.594006,4.589561,4.561846,4.898078,4.909877,4.481233,4.710393,4.760365,4.832095,4.320128,4.74803,4.689391,5.059564,4.514096,5.636368,4.626737,4.606548,4.64043,4.957536,5.061848,4.779737,4.324677,4.424451,4.549035,4.425996,4.795463,4.774659,5.193306,4.478062,4.953146,4.53116,4.710315,5.950795,4.356514,4.530103,4.440774,4.844794,5.002384,4.807946,4.855832,4.726937,5.790976,4.574053,5.133839,5.435167,4.58684,4.652537,5.483298,4.626781,4.634729,5.091766,4.91739,5.037331,4.86399,4.699738,4.532235,4.750855,4.887431,4.661867,5.066481,4.775702,4.749356,4.918505,4.634443,4.821533,5.156713,5.169155,4.291423,4.441134,4.594395,4.422174,4.815498,4.379872,4.716599,5.89237,4.866894,4.508617,4.725533,4.185624,4.156521,4.631869,4.251153,4.372283,4.834974,5.270018,5.211322,5.090581,4.564769,4.956803,4.395165,4.544192,4.51536,4.863159,5.272565,6.068737,5.200989,5.026229,5.293726,5.0624,5.297649,4.851154,5.320104,5.25391,5.294049,5.179195,5.301433,4.660951,4.595979,5.099804,5.279501,4.821703,5.036939,4.889343,4.953946,4.797329,4.918948,4.757269,4.884717,5.213378,4.641121,4.741293,4.869744,5.649122,4.685838,5.027441,5.64978,4.598253,4.759227,4.927717,4.621374,5.38905,5.290969,4.848467
CCL4,2.533786,2.893035,2.97218,2.364316,2.431317,3.711243,2.423174,2.228801,2.474842,2.019248,2.190772,2.783072,2.532384,1.97164,2.192055,3.814878,3.287287,2.128622,2.675874,2.517036,2.058692,2.168269,2.714202,3.134051,2.700359,2.235977,2.828179,3.218933,2.739895,2.711705,2.039561,3.175524,3.39783,2.760833,1.78671,2.750927,2.624743,2.20776,1.563033,3.354219,2.755392,2.470688,2.481965,2.480992,2.40173,2.20894,2.154638,1.681082,3.418299,1.774567,1.816061,2.699621,2.360368,2.282538,1.871642,3.34416,2.389043,2.459038,2.203153,2.288991,3.178069,3.200745,2.475422,2.895743,2.0368,1.777481,2.077505,2.065803,1.72237,2.235133,2.362973,2.760079,2.595818,2.320718,2.294899,1.737642,2.317642,2.191387,1.680943,2.005501,2.90303,2.054707,2.455898,1.960228,2.091565,2.19007,2.424154,1.476444,2.518745,2.154286,2.486477,1.982213,2.104998,2.621634,1.876308,2.357303,2.475614,2.012845,1.318988,2.58188,2.372151,1.870926,2.77525,2.730808,2.455828,2.100035,2.60313,1.812368,2.316663,2.400553,1.353436,2.05951,2.387966,2.166178,1.781077,2.212433,1.919033,1.982355,2.156169,2.717352,4.03684,2.029949,1.917167,2.116516,2.359008,1.807667,3.102466,2.972704,1.54179,2.206122,2.567584,2.299205,2.524676,2.589336,2.548066,2.149062,1.430899,2.169497,3.160674,1.660271,2.533202,3.397943,2.16446,2.410377,3.27006,3.39019,2.747718,2.686011,3.067845,1.9542,2.996794,2.415016,2.157724,2.698423,2.623072,2.062227,2.05467,2.345581,2.308045,3.006419,2.237445,2.420087,2.393507,1.682905,2.215525,2.474771,2.344617,2.480137,3.0931,1.551258,2.277389,1.704076,2.746036,2.019262,2.229685,2.88179,2.209656,2.714256,2.805577,2.155599,1.83035,1.519159,1.114486,2.170497,2.060972,1.689791,2.125741,2.460051,2.866595,2.012199,2.701795,2.274408,2.221878,2.139047,1.863454,1.581886,2.594089,2.134096,2.258733,2.071036,2.146156,1.851826,2.727524,1.682688,2.762741,1.823183,3.080092,1.665296,3.154799,2.31535,2.070732,2.142544,2.898611,3.253218,1.455615,2.487234,2.108858,1.907642,2.371587,2.578313,1.888878
CCL5,5.422404,6.283208,5.772282,5.417238,6.445908,6.280915,5.729622,4.856996,5.251999,6.171548,5.848101,5.567842,6.340641,6.93598,4.809834,7.554305,7.141904,4.491911,5.258413,5.770186,6.125935,5.510335,6.477216,7.026467,5.636972,6.057425,5.236973,5.852631,5.942833,6.28577,6.570344,7.642469,8.51683,6.199217,6.569419,7.233715,7.042867,5.764888,4.393349,6.610158,5.634231,6.324184,5.210526,5.966347,6.215553,6.117958,5.858215,4.533453,6.560822,5.274392,7.31804,6.770339,6.167547,8.19323,7.47428,7.270674,6.698953,6.466624,6.029203,5.773414,5.455887,6.600174,6.890329,5.777717,4.375705,6.035676,5.010078,5.235033,6.329002,4.591685,6.130876,6.427157,4.591142,4.645974,5.668097,5.630952,5.406534,5.536045,5.342508,4.953389,6.781261,4.34528,7.130183,6.015715,6.258633,5.897877,5.737746,4.71416,5.467783,5.691716,7.268688,6.654892,5.713274,6.222395,5.93733,4.977103,5.169171,4.872474,5.73731,6.254352,5.242336,5.404665,5.303944,6.711841,6.793174,6.059808,5.766562,5.073023,7.021667,6.692991,5.704382,6.584825,5.644809,6.26371,5.696971,5.081272,5.610671,5.543873,6.103374,5.25768,8.396511,5.795863,4.895814,5.549352,5.063897,5.091281,8.075948,5.188528,4.979744,5.88039,6.115372,5.569919,7.109691,6.164094,6.487328,5.233994,5.302222,6.108849,6.424237,6.288906,5.948372,5.194915,4.735238,4.38886,6.471795,4.861982,5.946898,5.915773,6.141171,5.425705,7.652084,6.151607,5.065739,4.814783,6.274189,5.380491,5.795185,4.866704,5.830544,5.792391,4.319754,5.390876,7.342206,6.049547,5.430558,6.774311,6.11912,6.520772,7.693989,6.64638,7.088314,6.490314,7.687815,6.130877,6.852408,6.289243,5.806491,5.699647,4.986279,5.161489,7.022313,6.223455,8.144388,6.866953,5.554441,6.194369,7.141743,7.329998,7.712626,6.414106,5.326607,4.966597,6.056822,5.18773,7.037368,5.061046,6.923595,6.014601,6.101386,6.371758,7.412828,5.521306,7.282892,5.7669,7.759163,5.705868,6.771313,5.664822,8.349973,6.817597,8.921848,6.291101,7.906381,7.443887,5.597988,7.409941,6.912282,6.183328,6.521726,5.561771,4.779365
CD14,6.055588,5.198717,4.90346,4.517289,4.822399,5.109119,4.681692,4.487078,4.057924,4.833798,4.299306,4.623939,4.521416,4.939831,4.334986,6.194919,5.704146,4.516331,5.137242,4.758219,5.432249,4.586792,5.526752,4.981462,5.361781,4.823943,4.434896,4.131053,4.339906,5.102868,4.739646,5.372732,6.697769,5.540477,4.645635,5.418308,5.26423,4.331944,4.689257,5.761893,4.957575,5.116469,5.194748,5.731434,5.706021,4.914474,5.022687,4.642422,5.779165,5.043447,5.833011,5.461494,5.30418,5.482806,5.479187,5.007102,5.428148,5.257617,4.725738,5.276546,5.521683,5.453153,5.442275,5.131879,4.398497,5.376927,5.117616,4.667297,5.138949,5.486413,5.017975,5.908109,4.765544,4.842596,4.717402,4.809263,4.724672,4.304709,4.088674,4.47509,5.254782,4.404188,5.298916,5.302475,4.594383,4.86595,4.563005,4.876184,4.418998,5.658667,4.800618,5.261911,4.740486,4.953579,4.92685,4.503704,4.575603,5.170808,4.766763,5.28862,5.424415,5.278491,5.273544,5.286774,5.196729,5.257082,4.782656,4.82799,5.611456,5.314283,5.205304,5.230549,4.686762,5.530813,5.168914,5.078111,5.156121,5.0622,4.082482,4.377228,6.430668,4.971613,4.290276,4.416543,4.4182,4.806377,6.026694,5.194506,4.69433,5.592795,5.364827,5.192612,6.031456,5.070036,5.88553,4.84384,5.917645,5.311583,5.234731,4.903381,4.892916,4.938858,4.72049,5.265832,5.778391,5.046753,5.354896,5.341549,5.134068,5.05488,6.376234,5.080564,4.735692,4.674655,5.141571,4.810618,5.530837,4.927567,4.736416,5.342182,4.805799,4.618971,4.677524,5.129091,5.117802,5.592597,5.404604,5.281077,5.198835,4.545823,6.056685,5.718753,4.961425,4.404091,5.138864,4.083879,4.438252,4.766205,4.936195,4.98462,4.863999,5.351264,6.696496,5.37272,5.066658,5.302155,5.13489,4.921142,5.73157,4.872713,4.829997,4.736756,5.251448,5.066004,5.717104,5.414374,4.772724,5.408548,4.793984,4.640914,4.855947,5.079113,5.28088,4.71577,6.017889,4.922236,5.28893,6.153645,6.637565,5.31128,6.352715,5.267685,5.935649,6.00542,5.145349,5.173061,5.402158,5.009362,6.109138,5.641386,4.903033
CD68,5.836377,5.486692,5.271808,5.194328,5.638961,5.903222,5.641107,5.024305,5.172338,5.767367,5.634007,5.451152,5.372117,5.889931,5.451455,7.555127,6.303815,5.301064,5.15017,5.773206,5.960372,5.895872,5.764867,5.71443,5.833257,5.742787,5.488628,5.725974,5.523908,5.564434,5.658136,6.158482,7.174586,5.665784,5.964486,5.698147,5.906399,5.814917,5.416391,6.357374,5.669153,5.743576,5.949966,6.043186,5.774836,5.904308,5.765799,5.048963,5.951093,5.562275,7.086355,6.059822,5.239462,6.657931,6.410256,5.722591,5.968228,6.207659,5.31176,6.021241,6.179721,6.103269,6.246265,5.949687,5.329868,6.14714,5.830849,5.193957,6.016875,5.467639,5.540408,6.434618,5.787836,5.391888,5.765114,5.614894,5.405728,5.967868,5.70329,5.57571,6.080727,5.056897,6.697896,5.28739,5.933281,6.168272,6.728522,5.838583,5.518477,5.61671,6.021348,6.050148,5.310348,6.355865,6.472089,5.178314,5.506296,5.33857,5.85297,5.901134,5.958488,5.899579,5.376759,6.23383,6.085979,6.472126,6.076506,5.984585,6.25233,6.610535,5.961669,6.197827,6.436427,6.133139,5.993453,6.143708,5.864771,6.282241,5.422156,5.466285,7.38501,5.338858,5.324431,6.038629,5.772047,5.588225,6.761,5.895383,6.134678,6.338921,6.396715,6.390653,7.032071,5.498104,6.29251,5.641213,6.477835,6.057378,5.650649,6.431963,6.248003,6.648354,6.631023,6.107875,6.716267,5.725142,5.515839,5.437237,5.836353,5.153616,6.706231,6.09533,6.276063,6.772063,5.93716,5.838657,5.69719,6.010437,5.73739,6.098926,5.713051,5.985999,6.047521,7.054397,6.880014,6.141569,6.1662,6.288433,7.131696,5.832277,6.231389,6.999824,6.663644,6.315202,6.537631,6.320795,6.885197,6.47025,5.989256,6.217941,7.258302,6.835361,8.230659,6.907798,7.352857,6.767043,6.862263,6.572708,7.153827,6.446612,6.522048,6.631118,6.951588,6.883214,6.91378,6.416786,6.520242,6.099216,6.873098,5.810968,6.485339,6.479627,6.530792,6.888528,7.118328,6.224773,7.140218,7.365421,7.396132,7.178226,7.436321,6.602083,6.793988,6.550769,6.482922,6.421748,6.739699,6.91594,7.373957,6.997998,5.828631
CD79A,6.048385,4.196507,4.485867,3.701536,4.800654,4.937314,4.925118,4.045883,3.834836,4.925123,4.032378,4.111969,4.56142,4.8429,4.300252,4.708407,5.701557,4.129407,4.581563,4.815032,5.317832,3.823217,5.366896,4.248283,3.874228,4.135121,4.005702,4.127093,4.425139,4.596947,4.425141,5.151114,5.336442,4.548704,6.604712,4.369511,5.65728,4.645128,4.290671,5.577542,4.793521,4.971712,4.758693,4.884648,4.583936,4.730196,4.420573,3.821996,4.849944,4.623231,5.797058,5.164745,4.827018,5.849864,5.689926,5.21806,6.051411,5.551491,4.273232,5.030475,4.927093,4.413591,5.682448,5.106522,4.022526,5.322473,4.439103,4.261684,5.341884,4.67295,4.207274,4.533732,4.071349,4.363297,4.251228,4.280644,4.161417,4.201026,4.149512,3.800963,4.108001,4.122751,5.685271,4.710608,4.876663,4.192328,4.178279,4.206594,4.018393,4.503263,5.978675,4.665999,4.359858,4.85308,4.451308,4.192678,4.223266,4.299208,4.391742,5.327929,5.147821,5.356611,5.451085,5.743561,5.09633,4.394061,4.360714,4.320207,5.709446,5.170191,4.515714,5.16081,4.356371,5.319208,4.71687,4.564587,4.41863,4.593251,4.314555,4.407528,4.866287,4.582047,3.864182,4.066295,4.228209,4.399666,7.030686,5.098449,4.470895,5.092033,4.526352,5.004404,4.644564,4.46352,5.500665,4.533043,4.531015,4.605528,4.693784,4.293178,4.132089,5.074043,4.333709,5.394045,5.119175,4.609149,5.097035,4.911013,4.437186,3.983724,5.986049,4.922483,4.471478,4.418699,5.221159,4.251092,4.825561,4.762867,4.195562,4.41606,4.797244,4.552533,5.242215,3.897788,4.773202,5.321408,4.087751,5.313457,4.65003,5.51192,6.587972,5.868585,5.928409,4.429648,6.479571,4.129172,4.412401,4.811251,4.76579,4.687143,4.989548,4.651327,5.052537,5.836463,4.656361,5.200437,4.49156,4.602652,6.050057,4.87394,4.672214,5.047881,5.165555,4.416392,6.643124,4.514422,6.098466,4.392463,4.28604,4.168108,5.728072,4.865617,5.078505,4.489367,5.505142,4.502268,5.462815,6.384637,4.768831,5.27606,4.756263,4.901607,6.259589,5.13923,4.749473,6.040519,5.246901,4.028121,6.304796,5.084958,4.47744
